Nom,Classification,Jeux publiés,Jeux non publiés,Revenu total (milliards),Revenu moyen par jeu (millions),Revenu médian par jeu (millions),Pays,% développé en interne,% de sorties indie,Action,Casual,Aventure,Simulation,Stratégie,RPG,MMO,Course,Sport
Electronic Arts,AAA,166,1,32.0,19.5,3.2,United States,2%,5%,49%,14%,24%,26%,24%,17%,2%,22%,23%
Ubisoft,AAA,179,3,29.0,16.4,1.5,France,29%,4%,57%,12%,38%,13%,20%,14%,4%,9%,5%
2K,AAA,104,3,27.0,25.9,2.1,,0%,5%,36%,5%,13%,22%,32%,17%,0%,1%,33%
Bandai Namco,AAA,144,9,27.0,18.4,4.2,Japan,1%,5%,68%,16%,25%,9%,7%,30%,2%,3%,3%
SEGA,AAA,169,7,26.0,15.4,4.8,Japan,25%,8%,52%,9%,25%,18%,32%,16%,1%,6%,16%
Bethesda Softworks,AAA,66,1,25.0,38.6,14.3,United States,4%,0%,73%,1%,12%,1%,1%,31%,1%,0%,0%
Valve,AAA,40,1,25.0,63.1,34.6,United States,35%,7%,73%,12%,12%,7%,10%,0%,0%,0%,0%
Capcom,AAA,96,3,23.0,24.0,5.6,Japan,79%,1%,90%,3%,39%,0%,3%,12%,0%,0%,0%
Xbox Game Studios,AAA,60,7,2.0,34.1,9.4,United States,0%,6%,58%,7%,45%,18%,19%,19%,0%,6%,1%
Feral Interactive,AA,44,0,19.0,44.3,45.4,United Kingdom,43%,0%,84%,0%,43%,27%,57%,9%,0%,30%,27%
Rockstar Games,AAA,27,0,19.0,69.7,10.9,United States,10%,0%,89%,0%,41%,0%,7%,0%,0%,7%,0%
Activision,AAA,82,1,18.0,21.5,0.9550000000000001,United States,4%,0%,65%,2%,31%,7%,7%,7%,0%,1%,7%
PlayStation Publishing LLC,AAA,23,2,14.0,62.8,30.6,,0%,8%,84%,8%,76%,0%,0%,28%,0%,0%,0%
Aspyr,AA,26,0,14.0,54.3,6.5,United States,23%,8%,54%,12%,46%,19%,42%,19%,0%,0%,0%
Paradox Interactive,AA,82,4,14.0,17.1,1.7,Sweden,0%,17%,15%,5%,14%,36%,77%,28%,0%,1%,3%
FromSoftware,AAA,6,1,14.0,231.4,102.6,Japan,6%,0%,100%,0%,0%,0%,0%,57%,0%,0%,0%
CD PROJEKT RED,AA,9,0,14.0,153.2,14.0,Poland,8%,11%,22%,0%,33%,0%,33%,67%,0%,0%,0%
"KRAFTON, Inc.",AA,8,4,13.0,165.6,6.3,South Korea,2%,8%,75%,8%,42%,33%,33%,17%,8%,8%,0%
Square Enix,AAA,162,1,11.0,7.0,1.3,Japan,96%,2%,45%,4%,27%,4%,9%,64%,3%,1%,0%
Larian Studios,AA,8,0,11.0,133.2,9.5,Belgium,8%,25%,13%,0%,50%,0%,63%,100%,0%,0%,0%
