title,developer,publisher,initial_dev_start,initial_announcement,release,budget_musd,development_years,raw_dev_text,metacritic_score
Skull and Bones,Ubisoft Singapore,Ubisoft,2013,2017,2024,200,11,"Développement chaotique, repoussé plusieurs fois, sortie tiède.",60
Assassin's Creed II,Ubisoft Montreal,Ubisoft,2008,2009,2009,20,1,Développé rapidement suite au succès du premier volet. Considéré comme un des meilleurs AC.,91
Far Cry 3,Ubisoft Montreal,Ubisoft,2008,2011,2012,25,4,"Excellent accueil critique, Vaas devenu culte, production maîtrisée.",90
GTA V,Rockstar North,Rockstar Games,2008,2011,2013,265,5,L’un des jeux les plus rentables de l’histoire du JV.,97
Red Dead Redemption 2,Rockstar Studios,Rockstar Games,2011,2016,2018,370,7,"Production colossale, acclamée par la critique, monde ouvert ultra détaillé.",96
The Last of Us Part II,Naughty Dog,Sony,2014,2016,2020,100,6,"Chef d’œuvre narratif, scores critiques très élevés, débat sur la narration.",93
Call of Duty: Modern Warfare (2019),Infinity Ward,Activision,2017,2019,2019,200,2,"Reboot très réussi, succès critique et commercial, gros focus sur le réalisme.",81
FIFA 23,EA Vancouver,EA Sports,2021,2022,2022,100,1,"Dernier FIFA sous ce nom, ventes records, mise à jour annuelle optimisée.",78
The Legend of Zelda: BotW,Nintendo EPD,Nintendo,2013,2014,2017,120,4,"Réinvention du genre open world, énorme impact critique et sur le game design.",97
Elden Ring,FromSoftware,Bandai Namco,2017,2019,2022,100,5,"Immense succès critique et commercial, collaboration avec George R. R. Martin.",96
